index,order_id,order_date,status,fulfilment,sales_channel,service_level,Style,SKU,category,Size,ASIN,"Courier Status",Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,"Unnamed: 22"
182,404-3907920-5281963,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE1233,JNE1233-BLUE-KR-031-XXL,kurta,XXL,B071VG5FH4,Shipped,1,INR,376,HYDERABAD,TELANGANA,500090,IN,"IN Core Free Shipping 2015/04/08 23-48-5-108",False,,
183,408-7310428-6047538,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0295,J0295-DR-M,"Western Dress",M,B099NP42BF,Shipped,1,INR,859,BENGALURU,KARNATAKA,560075,IN,"IN Core Free Shipping 2015/04/08 23-48-5-108",False,,
184,403-2608092-6065935,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET324,SET324-KR-NP-L,Set,L,B09NQ44RNV,Shipped,1,INR,597,MANGALURU,KARNATAKA,575001,IN,"IN Core Free Shipping 2015/04/08 23-48-5-108",False,,
185,404-9760385-9109154,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3371,JNE3371-KR-XL,kurta,XL,B07WV4JV4D,Shipped,1,INR,329,HYDERABAD,TELANGANA,500034,IN,,False,,
186,405-0732969-3941948,2022-04-30,"Shipped - Delivered to Buyer",Merchant,Amazon.in,Standard,J0147,J0147-SET-XL,Set,XL,B091Z8TV5Q,Shipped,1,INR,583,"NEW TOWN","WEST BENGAL",700059,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,"Easy Ship",
187,402-2720308-2560327,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0308,J0308-DR-L,"Western Dress",L,B099NS9KRN,Shipped,1,INR,665,MUMBAI,MAHARASHTRA,400016,IN,,False,,
188,402-0589123-6183541,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,NW030,NW030-TP-PJ-L,Set,L,B09G2T795K,Shipped,1,INR,582,MUMBAI,MAHARASHTRA,400016,IN,,False,,
189,408-3874942-9917143,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET360,SET360-KR-NP-XL,Set,XL,B09QJLG4DF,Shipped,1,INR,1126,SAMBHAL,"UTTAR PRADESH",244302,IN,"IN Core Free Shipping 2015/04/08 23-48-5-108",False,,
190,402-1706149-0949104,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,PJNE3373,PJNE3373-KR-N-6XL,kurta,6XL,B09LD3TCYP,Shipped,1,INR,534,NAGPUR,MAHARASHTRA,441002,IN,"IN Core Free Shipping 2015/04/08 23-48-5-108",False,,
191,407-1672316-3245939,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3449,JNE3449-KR-XXL,kurta,XXL,B08BF9DZ3F,Shipped,1,INR,319,ELAVANASURKOTTAI,"TAMIL NADU",607202,IN,"Duplicated A12RHGVGRWOT3S 1560498941486",False,,
192,405-1832646-7988329,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3786,JNE3786-KR-S,kurta,S,B09M72VK88,Shipped,1,INR,368,"SANGLI MIRAJ KUPWAD",MAHARASHTRA,416410,IN,,False,,
193,408-9692204-9817146,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,SET324,SET324-KR-NP-M,Set,M,B09NQ4NM75,Unshipped,1,INR,597,KALYAN,MAHARASHTRA,421306,IN,,False,,
194,402-9339129-6219537,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,J0003,J0003-SET-XXL,Set,XXL,B0894XKVH3,Unshipped,1,INR,654,MYSURU,KARNATAKA,570016,IN,,False,,
195,405-3036350-8089120,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0314,J0314-KR-M,kurta,M,B08PV1NB1B,Shipped,1,INR,795,ANKLESHWR,Gujarat,393002,IN,"IN Core Free Shipping 2015/04/08 23-48-5-108",False,,
196,404-6680046-0839536,2022-04-30,"Shipped - Delivered to Buyer",Merchant,Amazon.in,Standard,J0341,J0341-DR-M,"Western Dress",M,B099NQQ79L,Shipped,1,INR,744,Chennai,"TAMIL NADU",600117,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-R7GXNZWISTRFA,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-TNYBHEAO7HOHO,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-QMFZ3M7T5NPDS,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",False,"Easy Ship",
197,406-2966654-4672325,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,PJNE3068,PJNE3068-KR-4XL,kurta,4XL,B09M75YGQF,Shipped,1,INR,692,"Greater Noida West","UTTAR PRADESH",201009,IN,,False,,
198,403-4845285-4565113,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0340,J0340-TP-M,Top,M,B0986XSXR1,Shipped,1,INR,563,JAMMU,"JAMMU & KASHMIR",180007,IN,"IN Core Free Shipping 2015/04/08 23-48-5-108",False,,
199,171-4496851-5319548,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3687,JNE3687-TU-M,Top,M,B0986XRZ8X,Shipped,1,INR,545,BENGALURU,KARNATAKA,560085,IN,,False,,
200,408-3416118-1167564,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0376,J0376-SKD-L,Set,L,B09QJ4PXZ3,Shipped,1,INR,999,ITANAGAR,"ARUNACHAL PRADESH",791113,IN,"IN Core Free Shipping 2015/04/08 23-48-5-108",False,,
201,406-1590113-9193914,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0003,J0003-SET-M,Set,M,B0894XH3LN,Shipped,1,INR,654,KOLKATA,"WEST BENGAL",700075,IN,"IN Core Free Shipping 2015/04/08 23-48-5-108",False,,
202,404-0363929-8015528,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0198,J0198-TP-S,Top,S,B0986XYHCY,Shipped,1,INR,588,KARANJA,MAHARASHTRA,444105,IN,"IN Core Free Shipping 2015/04/08 23-48-5-108",False,,
203,407-7173744-5333154,2022-04-30,"Shipped - Delivered to Buyer",Merchant,Amazon.in,Standard,JNE3453,JNE3453-KR-S,kurta,S,B085HMWJ4R,Shipped,1,INR,497,"NEW DELHI",DELHI,110074,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,"Easy Ship",
204,405-6880044-2861120,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3795,JNE3795-KR-XXXL,kurta,3XL,B09HMXJVFS,Shipped,1,INR,517,NIMBAHERA,RAJASTHAN,312620,IN,"IN Core Free Shipping 2015/04/08 23-48-5-108",False,,
206,171-1851948-5476361,2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET398,SET398-KR-PP-M,Set,M,B09RPRS8JL,Shipped,1,INR,1115,"Imphal East",MANIPUR,795010,IN,"IN Core Free Shipping 2015/04/08 23-48-5-108",False,,
207,171-5810429-4493110,2022-04-30,Shipped,Amazon,Amazon.in,Standard,NW033,NW033-ST-CP-XXXL,Set,3XL,B099NPX9K3,Shipped,1,INR,582,"BIDHAN NAGAR","WEST BENGAL",700064,IN,,False,,
